,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Antwerp, Belgium",within an hour,100.0,96.0,t,host neighbourhood not available,4,"['email', 'phone']",t,neighbourhood not available,Room in boutique hotel,Hotel room,1.0,2,60,t,20,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,176.5068493150685,176.5068493150685,2.385414054362087,1.0,2.0,0.03,45,75,282,136.2876712328767,77.26027397260275,1 private bath,88.25342465753425,2.0,0.0,1.3514569341748728
1,"Antwerp, Belgium",within an hour,100.0,97.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,30,t,24,145,25,3,4.94,4.95,4.97,4.93,4.91,4.91,4.8,f,180.0,180.0,0.0,2.0,4.0,1.1,54,60,66,32.54794520547945,18.08219178082192,2.5 baths,45.0,2.0,0.0,0.0
2,"Antwerp, Belgium",response not available,95.51634665282823,42.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in home,Private room,1.0,14,365,t,0,5,2,0,3.75,4.0,2.25,4.5,4.0,4.5,4.5,f,15.0,15.0,0.0,1.0,2.0,0.04,0,0,182,7.47945205479452,49.86301369863014,2 shared baths,7.5,2.0,0.0,0.0
3,"Antwerp, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,['phone'],t,"Antwerpen, Vlaams Gewest, Belgium",Entire rental unit,Entire home/apt,1.0,2,30,t,12,449,97,3,4.78,4.82,4.84,4.9,4.9,4.96,4.73,f,125.95342465753424,125.95342465753424,20.641910864031473,2.0,3.0,3.4,40,65,312,109.23287671232876,85.47945205479452,1 bath,41.98447488584475,1.5,0.0,16.388526886153805
4,"Antwerp, Belgium",within an hour,100.0,87.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,3,90,t,24,83,17,1,4.8,4.84,4.86,4.88,4.88,4.51,4.78,f,70.05205479452054,70.05205479452054,0.5027696884525478,2.0,3.0,0.64,54,70,345,66.1945205479452,94.52054794520548,1 bath,23.350684931506848,1.5,0.0,0.7177086952371229
5,"Antwerp, Belgium",within an hour,100.0,86.0,t,host neighbourhood not available,12,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in rental unit,Private room,1.0,1,365,t,26,132,24,1,4.6,4.64,4.32,4.85,4.88,4.39,4.62,f,39.42739726027397,39.42739726027397,1.2307038406534199,1.0,2.0,1.01,56,85,360,38.83287671232877,98.63013698630137,1.5 shared baths,19.713698630136985,2.0,0.0,3.121443275925914
6,"Antwerpen, Belgium",response not available,95.51634665282823,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,21,t,30,2,0,0,0.0,4.733232271325797,4.655092497430628,4.79267214799589,4.81198869475848,4.753273381294964,4.650775950668037,t,281.90410958904107,281.90410958904107,137.86043312541275,2.0,4.0,0.02,60,90,365,281.90410958904107,100.0,1 bath,70.47602739726027,2.0,0.0,48.9033073431903
7,"Antwerpen, Belgium",within an hour,80.0,75.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,30,t,25,27,2,0,4.78,4.88,4.78,4.96,4.89,4.93,4.67,f,137.48219178082192,137.48219178082192,3.7081489734465816,1.0,2.0,0.22,55,85,360,135.5917808219178,98.63013698630137,1 bath,68.74109589041096,2.0,0.0,2.697184941129117
8,"Edegem, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,365,t,26,108,17,1,4.5,4.67,4.45,4.83,4.8,4.32,4.39,f,133.56164383561645,133.56164383561645,7.662141663581955,3.0,5.0,0.86,54,82,357,130.54794520547946,97.80821917808218,1 bath,26.71232876712329,1.6666666666666667,0.0,5.7367829891434114
9,"Antwerpen, Belgium",within a few hours,100.0,67.0,t,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire loft,Entire home/apt,1.0,1,1125,t,29,74,6,0,4.42,4.28,4.46,4.66,4.73,4.4,4.28,f,240.41095890410958,240.41095890410958,23.670027656148,1.0,2.0,0.61,59,89,179,118.4931506849315,49.04109589041096,1 bath,120.20547945205479,2.0,0.0,9.845652529337915
10,"Antwerp, Belgium",response not available,95.51634665282823,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,14,t,0,81,7,0,4.66,4.7,4.64,4.87,4.88,4.36,4.56,f,74.78082191780823,74.78082191780823,7.077371802462236,1.0,2.0,0.67,0,5,222,45.205479452054796,60.82191780821918,1 bath,37.39041095890411,2.0,0.0,9.464153536906817
11,"Antwerpen, Belgium",within an hour,100.0,25.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire loft,Entire home/apt,1.0,2,1125,t,0,6,1,0,4.83,4.67,4.83,4.83,5.0,4.5,4.67,f,90.56164383561644,90.56164383561644,6.5381095441465265,2.0,2.0,0.05,0,0,118,29.095890410958905,32.32876712328767,1 bath,45.28082191780822,1.0,0.0,7.219512883416979
12,"Antwerp, Belgium",within an hour,100.0,95.0,f,host neighbourhood not available,3,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,1,1125,t,18,114,27,2,4.65,4.68,4.46,4.74,4.86,4.88,4.57,f,237.53972602739725,237.53972602739725,25.512153641768794,3.0,6.0,1.24,43,62,180,114.18904109589042,49.31506849315068,1.5 baths,39.58995433789954,2.0,0.0,10.740162948081485
13,"Antwerp, Belgium",within an hour,100.0,96.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Room in boutique hotel,Hotel room,1.0,2,1125,t,18,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,178.2876712328767,178.2876712328767,6.2138613485214,1.0,2.0,0.08,41,68,332,161.78082191780823,90.95890410958904,1 private bath,89.14383561643835,2.0,0.0,3.4853006411222602
